ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615345537.5386221,162,5151,98,99,1,1,0,5151.0,0.0,98.0,0.0
1615345540.650802,895,5151,98,100,1,1,0,5151.0,0.0,98.0,0.0
1615345541.289836,1256,5231,60,97,2,2,46,5208.0,23.0,60.0,0.0
1615345548.1657472,385,5151,98,101,1,1,0,5151.0,0.0,98.0,0.0
1615345558.569966,262,5151,98,102,1,1,0,5151.0,0.0,98.0,0.0
1615345561.4505384,154,5151,98,103,1,1,0,5151.0,0.0,98.0,0.0
1615345573.753575,259,5151,98,104,1,1,0,5151.0,0.0,98.0,0.0
1615345574.0753212,388,5151,60,105,1,1,0,5151.0,0.0,60.0,0.0
1615345574.477734,906,5151,60,106,1,1,0,5151.0,0.0,60.0,0.0
1615345702.430721,1256,5201,60,107,2,2,87,5244.5,43.5,60.0,0.0
1615345707.7914,1256,5288,60,107,2,2,87,5244.5,43.5,60.0,0.0
1615345818.801368,213,5151,60,108,1,1,0,5151.0,0.0,60.0,0.0
1615345827.996915,3138,5143,60,109,1,1,0,5143.0,0.0,60.0,0.0
1615345839.249534,385,5151,98,110,1,1,0,5151.0,0.0,98.0,0.0
1615345839.45029,152,5151,98,111,1,1,0,5151.0,0.0,98.0,0.0
1615345843.812782,157,5151,98,112,1,1,0,5151.0,0.0,98.0,0.0
1615345858.471398,227,5151,98,113,1,1,0,5151.0,0.0,98.0,0.0
1615345861.927226,164,5151,98,114,1,1,0,5151.0,0.0,98.0,0.0
1615345872.478709,845,5117,62,115,3,3,222,5178.333333333333,100.47332426514457,62.0,0.0
1615345872.921848,222,5151,98,116,1,1,0,5151.0,0.0,98.0,0.0
1615345873.933102,906,5151,60,117,1,1,0,5151.0,0.0,60.0,0.0
1615345874.53559,388,5151,60,118,1,1,0,5151.0,0.0,60.0,0.0
1615345896.336389,2805,5230,60,119,1,1,0,5230.0,0.0,60.0,0.0
1615345933.9243894,845,5098,62,115,3,3,222,5178.333333333333,100.47332426514457,62.0,0.0
1615345947.341871,1256,5327,60,120,1,1,0,5327.0,0.0,60.0,0.0
1615346033.957476,845,5320,62,115,3,3,222,5178.333333333333,100.47332426514457,62.0,0.0
1615346047.871276,2105,5350,60,121,1,1,0,5350.0,0.0,60.0,0.0
1615346067.8908381,3129,5102,60,122,1,1,0,5102.0,0.0,60.0,0.0
1615346095.629567,4940,5160,60,123,1,1,0,5160.0,0.0,60.0,0.0
1615346108.001435,4923,5338,74,124,1,1,0,5338.0,0.0,74.0,0.0
1615346110.042084,210,5151,60,125,1,1,0,5151.0,0.0,60.0,0.0
1615346136.816518,158,5151,98,126,1,1,0,5151.0,0.0,98.0,0.0
1615346147.696707,159,5151,98,127,1,1,0,5151.0,0.0,98.0,0.0
1615346153.201516,888,5151,98,128,1,1,0,5151.0,0.0,98.0,0.0
1615346163.877149,2084,5173,60,129,1,1,0,5173.0,0.0,60.0,0.0
1615346175.314439,894,5151,98,130,1,1,0,5151.0,0.0,98.0,0.0
