ts,src_ip,dst_ip,pck_len
1615344539.7108939,4887,5201,60
1615344609.011913,845,5171,62
1615344609.467368,217,5151,60
1615344629.9129221,1768,5199,60
1615344640.573573,381,5151,98
1615344650.8203561,4847,5280,60
1615344654.552609,890,5151,98
1615344660.7922711,878,5151,98
1615344660.968796,227,5151,98
1615344662.587831,164,5151,98
1615344673.394784,906,5151,60
1615344673.428241,906,5151,60
1615344675.625647,877,5151,98
1615344702.754741,1768,5324,60
1615344758.071155,845,5111,62
1615344787.1408029,845,5102,62
1615344818.550634,845,5180,62
1615344821.471731,1256,5262,60
1615344848.782168,1256,5109,60
1615344873.3160212,4974,5321,60
1615344888.684936,1256,5132,60
1615344912.3440711,845,5100,62
1615344918.856134,209,5151,60
1615344940.307338,154,5151,98
1615344940.474217,159,5151,98
1615344943.118161,163,5151,98
1615344960.3807821,903,5151,98
1615344961.0655868,895,5151,98
1615344968.444788,4139,5182,60
1615344973.804939,388,5151,60
1615344973.8323472,388,5151,60
1615344975.6356509,877,5151,98
1615345030.12908,845,5121,62
1615345190.417927,845,5210,62
1615345205.705111,1256,5280,60
1615345228.958905,211,5151,60
1615345239.535943,164,5151,98
1615345239.9020839,1892,5151,98
1615345242.8900928,160,5151,98
1615345244.129775,4992,5303,60
1615345258.5346491,260,5151,98
1615345261.569027,162,5151,98
1615345273.472632,222,5151,98
1615345274.157772,906,5151,60
1615345274.545295,388,5151,60
1615345309.4683769,845,5153,62
1615345316.293968,845,5267,62
1615345413.09113,4207,5208,60
1615345472.309793,229,5178,60
1615345472.4461482,229,5178,60
1615345507.5635948,1256,5185,60
1615345518.8904212,210,5151,60
1615345537.5386221,162,5151,98
1615345540.650802,895,5151,98
1615345541.289836,1256,5231,60
1615345548.1657472,385,5151,98
1615345558.569966,262,5151,98
1615345561.4505382,154,5151,98
1615345573.753575,259,5151,98
1615345574.0753212,388,5151,60
1615345574.477734,906,5151,60
1615345702.430721,1256,5201,60
1615345707.7914,1256,5288,60
1615345818.801368,213,5151,60
1615345827.996915,3138,5143,60
1615345839.249534,385,5151,98
1615345839.45029,152,5151,98
1615345843.812782,157,5151,98
1615345858.471398,227,5151,98
1615345861.927226,164,5151,98
1615345872.478709,845,5117,62
1615345872.921848,222,5151,98
1615345873.933102,906,5151,60
1615345874.53559,388,5151,60
1615345896.336389,2805,5230,60
1615345933.9243891,845,5098,62
1615345947.341871,1256,5327,60
1615346033.957476,845,5320,62
1615346047.871276,2105,5350,60
1615346067.8908381,3129,5102,60
1615346095.629567,4940,5160,60
1615346108.001435,4923,5338,74
1615346110.042084,210,5151,60
1615346136.816518,158,5151,98
1615346147.696707,159,5151,98
1615346153.201516,888,5151,98
1615346163.877149,2084,5173,60
1615346175.314439,894,5151,98
1615346178.9425619,1256,5291,60
1615346179.148485,388,5151,60
1615346179.521655,906,5151,60
1615346322.484749,845,5297,62
1615346356.62636,845,5243,62
1615346360.322724,845,5202,62
1615346409.668796,211,5151,60
1615346432.787001,384,5151,98
1615346442.996743,1256,5162,60
1615346443.983333,383,5151,98
1615346447.267281,1892,5151,98
1615346469.683186,381,5151,98
1615346472.963029,388,5151,60
1615346524.267815,4926,5217,60
1615346529.949404,845,5269,62
1615346568.198092,845,5277,62
1615346618.405302,2637,5148,60
1615346638.666642,1256,5202,60
1615346639.088494,1256,5265,60
1615346709.916709,213,5151,60
1615346731.892993,160,5151,98
1615346744.760572,888,5151,98
1615346745.139559,155,5151,98
1615346762.016392,4926,5220,60
1615346768.152574,162,5151,98
1615346772.257454,906,5151,60
1615346772.3073359,906,5151,60
1615346781.994226,276,5246,60
1615346782.07763,276,5283,60
1615346782.083064,276,5126,60
1615346782.176038,276,5138,60
1615346782.241612,276,5122,60
1615346782.46006,276,5171,60
1615346782.7493382,276,5348,60
1615346782.948689,276,5196,60
1615346782.955345,276,5163,60
1615346783.0005212,276,5185,60
1615346783.242569,276,5344,60
1615346783.277503,276,5222,60
1615346783.556868,276,5152,60
1615346783.6371071,276,5316,60
1615346783.6941779,276,5226,60
1615346783.778498,276,5239,60
1615346784.047394,276,5155,60
1615346784.152538,276,5197,60
1615346784.22385,276,5137,60
1615346784.552312,276,5180,60
1615346784.748608,276,5235,60
1615346784.943318,276,5182,60
1615346785.126455,276,5167,60
1615346785.2933679,276,5310,60
1615346785.318418,276,5260,60
1615346785.402062,276,5276,60
1615346785.709637,276,5192,60
1615346785.987552,276,5158,60
1615346786.1474211,276,5243,60
1615346786.197508,276,5224,60
1615346786.285415,276,5170,60
1615346786.441024,276,5297,60
1615346786.475116,276,5168,60
1615346786.5699198,276,5105,60
1615346786.639926,276,5311,60
1615346786.808136,276,5250,60
1615346787.0471141,276,5342,60
1615346787.375782,276,5227,60
1615346787.458622,276,5103,60
1615346787.844281,276,5161,60
1615346787.866369,276,5216,60
1615346788.179287,276,5274,60
1615346788.298408,276,5120,60
1615346788.444658,276,5315,60
1615346788.451499,276,5244,60
1615346788.562501,276,5241,60
1615346788.7426732,276,5323,60
1615346789.036608,276,5151,60
1615346789.097275,276,5145,60
1615346789.15722,276,5107,60
1615346789.36969,276,5194,60
1615346790.110449,276,5234,60
1615346790.315522,276,5148,60
1615346790.855602,276,5255,60
1615346790.935852,276,5329,60
1615346790.9784849,276,5272,60
1615346791.4780061,276,5263,60
1615346791.500296,276,5349,60
1615346791.564485,276,5156,60
1615346791.679213,276,5223,60
1615346791.705481,276,5345,60
1615346791.822552,276,5147,60
1615346791.8428311,276,5154,60
1615346792.101855,276,5135,60
1615346792.1277368,276,5279,60
1615346792.128284,276,5144,60
1615346792.613301,276,5119,60
1615346792.877585,276,5177,60
1615346793.015887,276,5115,60
1615346793.548045,276,5251,60
1615346793.83251,276,5321,60
1615346794.142205,276,5221,60
1615346794.479744,276,5210,60
1615346794.7715778,276,5215,60
1615346794.951511,276,5318,60
1615346795.24666,276,5341,60
1615346795.339971,276,5193,60
1615346795.667531,276,5257,60
1615346795.7526028,276,5314,60
1615346796.217621,276,5304,60
1615346796.540296,276,5333,60
1615346798.146741,276,5217,60
1615346798.635098,276,5338,60
1615346798.667871,276,5309,60
1615346799.395454,276,5225,60
1615346799.3987029,276,5149,60
1615346799.581325,276,5270,60
1615346799.607441,276,5312,60
1615346799.670438,276,5149,60
1615346799.6803288,276,5225,60
1615346799.738498,276,5121,60
1615346799.923184,276,5149,60
1615346799.9424038,276,5225,60
1615346800.176995,276,5149,60
1615346800.2187119,276,5225,60
1615346800.444714,276,5249,60
1615346800.445729,276,5347,60
1615346800.452621,276,5149,60
1615346800.4698,276,5289,60
1615346800.4731789,276,5225,60
1615346800.492216,276,5173,60
1615346800.497384,276,5172,60
1615346800.6260061,276,5108,60
1615346800.725152,276,5149,60
1615346800.727747,276,5347,60
1615346800.732843,276,5225,60
1615346800.749741,276,5289,60
1615346800.7611651,276,5173,60
1615346800.793821,276,5330,60
1615346800.816931,276,5328,60
1615346800.975468,276,5149,60
1615346800.983592,276,5347,60
1615346800.9956071,276,5225,60
1615346800.999986,276,5289,60
1615346801.0144901,276,5173,60
1615346801.123058,276,5339,60
1615346801.239131,276,5149,60
1615346801.240365,276,5347,60
1615346801.246094,276,5225,60
1615346801.267653,276,5289,60
1615346801.271408,276,5173,60
1615346801.429894,276,5146,60
1615346801.49676,276,5225,60
1615346801.501376,276,5149,60
1615346801.501924,276,5347,60
1615346801.520508,276,5289,60
1615346801.5216289,276,5173,60
1615346801.695359,276,5199,60
1615346801.744693,276,5228,60
1615346801.7476141,276,5225,60
1615346801.768914,276,5149,60
1615346801.769898,276,5347,60
1615346801.784764,276,5173,60
1615346801.813187,276,5289,60
1615346802.000069,276,5225,60
1615346802.0507061,276,5149,60
1615346802.052027,276,5347,60
1615346802.055349,276,5173,60
1615346802.066917,276,5289,60
1615346802.1983712,276,5281,60
1615346802.264442,276,5225,60
1615346802.304322,276,5347,60
1615346802.3046699,276,5149,60
1615346802.318691,276,5173,60
1615346802.3316529,276,5289,60
1615346802.452881,276,5125,60
1615346802.525578,276,5225,60
1615346802.5732,276,5149,60
1615346802.574635,276,5347,60
1615346802.584899,276,5173,60
1615346802.598935,276,5289,60
1615346802.6607141,276,5142,60
1615346802.797395,276,5225,60
1615346802.835572,276,5173,60
1615346802.837431,276,5347,60
1615346802.8379369,276,5149,60
1615346802.8498769,276,5289,60
1615346802.926965,276,5266,60
1615346802.9300551,276,5319,60
1615346803.029434,276,5118,60
1615346803.051481,276,5225,60
1615346803.0670419,276,5337,60
1615346803.089343,276,5347,60
1615346803.091721,276,5173,60
1615346803.100111,276,5289,60
1615346803.105613,276,5149,60
1615346803.630286,276,5225,60
1615346803.6327438,276,5173,60
1615346803.6737812,276,5149,60
1615346803.680476,276,5289,60
1615346803.726892,276,5347,60
1615346803.77323,276,5101,60
1615346803.773651,276,5200,60
1615346803.889319,276,5225,60
1615346803.890961,276,5173,60
1615346803.949716,276,5149,60
1615346803.957725,276,5289,60
1615346803.977378,276,5347,60
1615346804.14524,276,5225,60
1615346804.149323,276,5173,60
1615346804.226118,276,5289,60
1615346804.2266471,276,5149,60
1615346804.23348,276,5347,60
1615346804.378731,276,5292,60
1615346804.450069,276,5317,60
1615346805.0352712,276,5245,60
1615346805.116588,276,5207,60
1615346805.3588052,276,5184,60
1615346806.526802,276,5190,60
1615346806.6446471,276,5117,60
1615346806.6906679,276,5191,60
1615346806.839778,276,5162,60
1615346806.857302,276,5124,60
1615346806.880839,276,5287,60
1615346806.963175,276,5265,60
1615346807.049357,276,5298,60
1615346807.091495,276,5186,60
1615346807.1436381,276,5176,60
1615346807.38301,276,5256,60
1615346807.49172,276,5131,60
1615346807.6258311,276,5164,60
1615346807.999835,276,5111,60
1615346808.593398,276,5140,60
1615346808.629498,276,5326,60
1615346808.635701,276,5277,60
1615346808.942311,276,5112,60
1615346808.989332,276,5237,60
1615346809.036885,276,5267,60
