ts,src_ip,dst_ip,pck_len,user,num_attack,ip_diff,range_ip,ip_medium,ip_std,pck_medium,pck_std
1615346639.088494,1256,5265,60,158,2,2,63,5233.5,31.5,60.0,0.0
1615346709.916709,213,5151,60,159,1,1,0,5151.0,0.0,60.0,0.0
1615346731.892993,160,5151,98,160,1,1,0,5151.0,0.0,98.0,0.0
1615346744.760572,888,5151,98,161,1,1,0,5151.0,0.0,98.0,0.0
1615346745.139559,155,5151,98,162,1,1,0,5151.0,0.0,98.0,0.0
1615346762.016392,4926,5220,60,163,1,1,0,5220.0,0.0,60.0,0.0
1615346768.152574,162,5151,98,164,1,1,0,5151.0,0.0,98.0,0.0
1615346772.257454,906,5151,60,165,2,1,0,5151.0,0.0,60.0,0.0
1615346772.3073359,906,5151,60,165,2,1,0,5151.0,0.0,60.0,0.0
1615346781.994226,276,5246,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.07763,276,5283,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.083064,276,5126,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.176038,276,5138,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.241612,276,5122,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.46006,276,5171,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.7493384,276,5348,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.948689,276,5196,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346782.955345,276,5163,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.0005212,276,5185,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.242569,276,5344,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.277503,276,5222,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.556868,276,5152,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.6371071,276,5316,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.6941779,276,5226,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346783.778498,276,5239,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.047394,276,5155,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.152538,276,5197,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.22385,276,5137,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.552312,276,5180,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.748608,276,5235,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346784.943318,276,5182,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.126455,276,5167,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.2933679,276,5310,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.318418,276,5260,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.402062,276,5276,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
1615346785.709637,276,5192,60,166,331,253,252,5225.770392749245,72.85922671819017,60.0,0.0
