ts,src_ip,src_port,dst_ip,dst_port,proto,pck_len,tcp_flags,mirai
1615343346.426520,458,12345,5296,443,6,60,2,0
1615343346.426700,458,12345,5304,443,6,60,2,0
1615343346.426942,458,12345,5257,443,6,60,2,0
1615343346.427005,458,12345,5343,443,6,60,2,0
1615343346.427032,458,12345,5310,443,6,60,2,0
1615343346.427054,458,12345,5305,443,6,60,2,0
1615343346.427091,458,12345,5340,443,6,60,2,0
1615343346.427734,458,12345,5313,443,6,60,2,0
1615343346.428118,458,12345,5325,443,6,60,2,0
1615343346.428280,458,12345,5328,443,6,60,2,0
1615343346.428431,458,12345,5318,443,6,60,2,0
1615343346.428552,458,12345,5234,443,6,60,2,0
1615343346.428781,458,12345,5332,443,6,60,2,0
1615343346.428820,458,12345,5331,443,6,60,2,0
1615343346.428870,458,12345,5169,443,6,60,2,0
1615343346.428961,458,12345,5323,443,6,60,2,0
1615343346.429001,458,12345,5299,443,6,60,2,0
1615343346.429274,458,12345,5233,443,6,60,2,0
1615343346.429791,458,12345,5346,443,6,60,2,0
1615343346.430105,458,12345,5246,443,6,60,2,0
1615343346.430308,458,12345,5339,443,6,60,2,0
1615343346.430317,458,12345,5342,443,6,60,2,0
1615343346.430375,458,12345,5344,443,6,60,2,0
1615343346.430960,458,12345,5350,443,6,60,2,0
1615343346.431721,458,12345,5345,443,6,60,2,0
1615343346.432382,458,12345,5266,443,6,60,2,0
1615343346.432447,458,12345,5312,443,6,60,2,0
1615343346.433035,458,12345,5265,443,6,60,2,0
1615343346.435551,458,12345,5349,443,6,60,2,0
1615343346.438604,458,12345,5271,443,6,60,2,0
1615343346.442171,458,12345,5300,443,6,60,2,0
1615343346.442171,1253,31515,5338,2222,17,66,-,-
1615343346.453212,458,12345,5117,443,6,60,2,0
1615343346.457898,458,12345,5098,443,6,60,2,0
1615343346.458789,458,12345,5103,443,6,60,2,0
1615343346.458889,458,12345,5100,443,6,60,2,0
1615343346.459073,458,12345,5111,443,6,60,2,0
1615343346.460705,458,12345,5116,443,6,60,2,0
1615343346.460757,458,12345,5192,443,6,60,2,0
1615343346.460838,458,12345,5122,443,6,60,2,0
1615343346.461067,458,12345,5124,443,6,60,2,0
1615343346.461589,458,12345,5127,443,6,60,2,0
1615343346.461791,458,12345,5135,443,6,60,2,0
1615343346.462108,458,12345,5140,443,6,60,2,0
1615343346.462562,458,12345,5144,443,6,60,2,0
1615343346.462831,458,12345,5138,443,6,60,2,0
1615343346.463750,458,12345,5153,443,6,60,2,0
1615343346.464486,458,12345,5163,443,6,60,2,0
1615343346.464659,458,12345,5162,443,6,60,2,0
1615343346.465222,458,12345,5231,443,6,60,2,0
1615343346.465802,458,12345,5178,443,6,60,2,0
1615343346.465942,458,12345,5179,443,6,60,2,0
1615343346.466463,458,12345,5184,443,6,60,2,0
1615343346.466551,458,12345,5176,443,6,60,2,0
1615343346.466713,458,12345,5177,443,6,60,2,0
1615343346.467105,458,12345,5190,443,6,60,2,0
1615343346.467336,458,12345,5195,443,6,60,2,0
1615343346.467644,426,47394,5179,1584,6,60,2,0
1615343346.467753,458,12345,5193,443,6,60,2,0
1615343346.468152,458,12345,5198,443,6,60,2,0
1615343346.468605,458,12345,5206,443,6,60,2,0
1615343346.468960,458,12345,5210,443,6,60,2,0
1615343346.469011,458,12345,5212,443,6,60,2,0
1615343346.469353,458,12345,5209,443,6,60,2,0
1615343346.469488,458,12345,5216,443,6,60,2,0
1615343346.469544,458,12345,5213,443,6,60,2,0
1615343346.469545,458,12345,5214,443,6,60,2,0
1615343346.469682,458,12345,5217,443,6,60,2,0
1615343346.470528,458,12345,5224,443,6,60,2,0
1615343346.471048,458,12345,5226,443,6,60,2,0
1615343346.471482,458,12345,5232,443,6,60,2,0
1615343346.472019,458,12345,5242,443,6,60,2,0
1615343346.473002,458,12345,5250,443,6,60,2,0
1615343346.473118,458,12345,5319,443,6,60,2,0
1615343346.473339,458,12345,5248,443,6,60,2,0
1615343346.474129,458,12345,5258,443,6,60,2,0
1615343346.474297,458,12345,5256,443,6,60,2,0
1615343346.474860,458,12345,5268,443,6,60,2,0
1615343346.474931,458,12345,5270,443,6,60,2,0
1615343346.475080,458,12345,5229,443,6,60,2,0
1615343346.475301,458,12345,5275,443,6,60,2,0
1615343346.475533,458,12345,5282,443,6,60,2,0
1615343346.475730,458,12345,5279,443,6,60,2,0
1615343346.476414,458,12345,5288,443,6,60,2,0
1615343346.476537,458,12345,5278,443,6,60,2,0
1615343346.476754,458,12345,5292,443,6,60,2,0
1615343346.477521,458,12345,5302,443,6,60,2,0
1615343346.477602,458,12345,5253,443,6,60,2,0
1615343346.477773,458,12345,5295,443,6,60,2,0
1615343346.478056,458,12345,5306,443,6,60,2,0
1615343346.478142,458,12345,5301,443,6,60,2,0
1615343346.478964,458,12345,5314,443,6,60,2,0
1615343346.479408,458,12345,5320,443,6,60,2,0
1615343346.479421,458,12345,5321,443,6,60,2,0
1615343346.480211,458,12345,5281,443,6,60,2,0
1615343346.480296,458,12345,5327,443,6,60,2,0
1615343346.480408,458,12345,5330,443,6,60,2,0
1615343346.481514,458,12345,5341,443,6,60,2,0
1615343346.481638,458,12345,5348,443,6,60,2,0
1615343346.482286,458,12345,5303,443,6,60,2,0
1615343346.484526,458,12345,5324,443,6,60,2,0
1615343346.485294,458,12345,5335,443,6,60,2,0
1615343346.500647,3314,65310,5290,81,6,60,2,0
1615343346.660648,614,51573,5169,45763,6,60,2,0
1615343346.725780,4534,2329,5283,23,6,60,2,1
1615343346.878238,3863,36659,5347,8443,6,74,2,0
1615343346.909769,614,51573,5139,45214,6,60,2,0
1615343347.052475,643,47309,5117,8487,6,60,2,0
1615343347.074377,426,47394,5308,1966,6,60,2,0
1615343347.136632,4674,42551,5195,14231,6,60,2,0
1615343347.204087,637,47282,5203,7972,6,60,2,0
1615343347.315294,635,57136,5336,1011,6,60,2,0
1615343347.317797,3485,30189,5350,42424,6,60,2,0
1615343347.392391,711,50315,5191,445,6,66,2,0
1615343347.393673,1161,26882,5279,23,6,60,2,1
1615343347.409061,2915,41619,5180,6381,6,60,2,0
1615343347.501989,711,50432,5111,445,6,66,2,0
1615343347.528212,426,47394,5272,2163,6,60,2,0
1615343347.558701,614,51573,5322,45214,6,60,2,0
1615343347.632322,614,51573,5207,55669,6,60,2,0
1615343347.692776,426,47394,5246,930,6,60,2,0
1615343347.746956,2804,32666,5343,18081,6,60,2,0
1615343347.797133,614,51573,5266,55789,6,60,2,0
1615343347.957058,426,47394,5308,1702,6,60,2,0
1615343348.015333,3009,32767,5160,8545,6,60,2,0
1615343348.023087,2410,37367,5139,445,6,66,2,0
1615343348.045471,2765,57581,5118,22,6,60,2,0
1615343348.113818,3580,58887,5169,3128,6,60,2,0
1615343348.202108,2091,51189,5348,50996,6,60,2,0
1615343348.233664,4157,54667,5185,80,6,60,2,0
1615343348.416437,1936,43070,5169,10120,6,60,2,0
1615343348.420427,711,51449,5252,445,6,66,2,0
1615343348.435309,369,36089,5341,5351,6,60,2,0
1615343348.497320,711,51527,5198,445,6,66,2,0
1615343348.598422,2489,58212,5252,22220,6,60,2,0
1615343349.096147,3456,18743,5250,51200,6,60,2,0
1615343349.098350,614,51573,5298,55789,6,60,2,0
1615343349.233602,711,52789,5184,445,6,66,2,0
1615343349.268929,637,47282,5337,2286,6,60,2,0
1615343349.323063,426,47394,5279,1746,6,60,2,0
1615343349.401943,711,53144,5339,445,6,66,2,0
1615343349.485051,4158,37629,5341,80,6,60,2,0
1615343349.603623,4478,33615,5308,8081,6,60,2,0
1615343349.624098,2506,60455,5263,23,6,60,2,1
1615343349.683503,711,53597,5146,445,6,66,2,0
1615343349.726634,614,51573,5241,55789,6,60,2,0
1615343349.729558,3054,52479,5150,10795,6,60,2,0
1615343349.730566,3054,52479,5165,10795,6,60,2,0
1615343349.779383,821,35534,5114,23,6,60,2,1
1615343350.008432,4787,56142,5177,500,17,106,-,-
1615343350.066350,614,51573,5303,45938,6,60,2,0
1615343350.093948,1542,29011,5292,8000,6,60,2,0
1615343350.133710,637,47282,5155,7874,6,60,2,0
1615343350.198920,3386,44471,5332,23,6,60,2,0
1615343350.221314,4320,61894,5162,445,6,66,2,0
1615343350.223418,1387,64146,5143,9408,6,60,2,0
1615343350.224326,426,47394,5142,1233,6,60,2,0
1615343350.231730,426,47394,5139,2829,6,60,2,0
1615343350.234467,1826,50481,5319,10001,6,60,2,0
1615343350.315665,4491,50084,5120,8080,6,60,2,0
1615343350.351421,614,51573,5232,45264,6,60,2,0
1615343350.398821,711,50315,5191,445,6,66,2,0
1615343350.475422,426,47394,5250,343,6,60,2,0
1615343350.509501,711,50432,5111,445,6,66,2,0
1615343350.541679,2120,8448,5146,6379,6,60,2,0
1615343350.602082,979,49398,5103,445,6,62,2,0
1615343350.735010,481,32,5249,23,6,60,2,0
1615343350.791330,772,31110,5251,23,6,60,2,1
1615343350.808727,614,51573,5168,45214,6,60,2,0
1615343350.942825,426,47394,5327,2836,6,60,2,0
1615343350.953733,1826,50481,5276,10001,6,60,2,0
1615343351.138442,1675,59731,5258,3354,6,60,2,0
1615343351.190516,2131,58914,5174,9999,6,60,2,0
1615343351.249041,614,51573,5265,45734,6,60,2,0
1615343351.268820,2106,40517,5331,21691,6,60,2,0
1615343351.345074,614,51573,5288,45938,6,60,2,0
1615343351.347393,2011,47147,5255,123,17,234,-,-
1615343351.415008,711,51449,5252,445,6,66,2,0
1615343351.492409,711,51527,5198,445,6,66,2,0
1615343351.586088,979,50792,5299,445,6,66,2,0
1615343351.754330,4685,59694,5240,443,6,60,2,0
1615343351.913093,2992,28788,5233,8009,6,60,2,0
1615343351.930161,2332,56228,5304,8088,6,74,2,0
1615343352.168739,426,47394,5314,1014,6,60,2,0
1615343352.185627,426,47394,5330,530,6,60,2,0
1615343352.186531,2157,40269,5248,23,6,60,2,0
1615343352.225567,711,52789,5184,445,6,66,2,0
1615343352.367937,711,58092,5326,445,6,66,2,0
1615343352.411278,711,53144,5339,445,6,66,2,0
1615343352.423583,467,38505,5228,7001,6,60,2,0
1615343352.502939,2226,10174,5276,6380,6,60,2,0
1615343352.544637,614,51573,5268,45734,6,60,2,0
1615343352.688319,711,53597,5146,445,6,66,2,0
1615343352.742157,711,58633,5261,445,6,66,2,0
1615343352.787410,1393,46548,5337,6363,6,60,2,0
1615343352.865716,711,58755,5178,445,6,66,2,0
1615343352.940283,641,47262,5286,1693,6,60,2,0
1615343352.997444,2491,58212,5150,22220,6,60,2,0
1615343353.094408,2014,61136,5321,60908,17,229,-,-
1615343353.213329,4674,42551,5237,14231,6,60,2,0
1615343353.221590,4320,61894,5162,445,6,66,2,0
1615343353.260818,1675,59731,5324,3354,6,60,2,0
1615343353.338370,614,51573,5182,55741,6,60,2,0
1615343353.415010,426,47394,5167,2765,6,60,2,0
1615343353.433772,643,47309,5187,8485,6,60,2,0
1615343353.774431,1376,43198,5257,83,6,60,2,0
1615343353.878833,711,60559,5259,445,6,66,2,0
1615343353.906262,4230,49834,5191,60908,17,115,-,-
1615343354.053413,614,51573,5243,45214,6,60,2,0
1615343354.087083,3543,59133,5165,8080,6,60,2,0
1615343354.340156,2418,9217,5118,23,6,60,2,1
1615343354.595601,979,50792,5299,445,6,66,2,0
1615343354.692056,3492,51054,5234,16050,6,60,2,0
1615343354.726600,137,20109,5126,23,6,60,2,1
1615343354.745012,3349,25347,5125,12514,6,60,2,0
1615343354.824416,1370,5515,5331,1883,6,60,2,0
1615343354.934427,426,47394,5175,2544,6,60,2,0
1615343355.127405,711,62183,5201,445,6,66,2,0
1615343355.193980,637,47282,5116,7872,6,60,2,0
1615343355.226781,369,46541,5250,389,17,81,-,-
1615343355.341507,3600,42828,5254,53,17,104,-,-
1615343355.492458,1429,34610,5290,23,6,60,2,0
1615343355.725604,426,47394,5143,3,6,60,2,0
1615343355.751568,711,58633,5261,445,6,66,2,0
1615343355.757056,614,51573,5266,45734,6,60,2,0
1615343355.852929,2915,41619,5296,6381,6,60,2,0
1615343355.864549,1826,50481,5339,3388,6,60,2,0
1615343355.917704,2933,47287,5258,1433,6,60,2,0
1615343355.924085,2070,42772,5255,2083,6,60,2,0
