ts,src_ip,src_port,dst_ip,dst_port,pck_len,tcp_flags
1615345507.287456,1551,48144.0,5153,445.0,60,2.0
1615345507.45627,3648,40011.0,5262,80.0,60,2.0
1615345507.466813,426,47394.0,5182,1636.0,60,2.0
1615345507.5244858,426,47394.0,5174,1009.0,60,2.0
1615345507.650444,274,63100.0,5184,1433.0,66,2.0
1615345507.6946108,426,47394.0,5183,586.0,60,2.0
1615345507.705267,3922,57698.0,5143,445.0,66,2.0
1615345507.710906,705,45074.0,5304,5559.0,60,2.0
1615345507.802283,1826,50481.0,5240,33892.0,60,2.0
1615345507.831307,614,51573.0,5107,55660.0,60,2.0
1615345507.9490712,1232,38376.0,5112,23.0,60,2.0
1615345507.999229,252,57698.0,5300,445.0,66,2.0
1615345508.0275211,634,50200.0,5299,3365.0,60,2.0
1615345508.103219,274,50356.0,5205,1433.0,66,2.0
1615345508.171037,1826,50481.0,5227,33892.0,60,2.0
1615345508.173073,3837,7267.0,5147,23.0,60,2.0
1615345508.327641,614,51573.0,5141,8857.0,60,2.0
1615345508.3526552,2780,63342.0,5104,445.0,66,2.0
1615345508.3716369,614,51573.0,5311,55747.0,60,2.0
1615345508.387593,3922,57758.0,5125,445.0,66,2.0
1615345508.733407,1826,50481.0,5322,33892.0,60,2.0
1615345508.784793,1490,46887.0,5184,4401.0,60,2.0
1615345508.893665,614,51573.0,5241,45676.0,60,2.0
1615345508.896363,614,51573.0,5271,45676.0,60,2.0
1615345508.971017,3922,57950.0,5180,445.0,66,2.0
1615345509.04192,2306,37905.0,5214,445.0,66,2.0
1615345509.146126,614,51573.0,5280,45026.0,60,2.0
1615345509.266308,2804,40333.0,5126,10038.0,60,2.0
1615345509.411231,3307,9130.0,5160,9090.0,60,2.0
1615345509.474498,640,47186.0,5115,1246.0,60,2.0
1615345509.648674,705,45074.0,5254,5559.0,60,2.0
1615345509.653111,1612,27521.0,5349,23.0,60,2.0
1615345509.76378,4644,48756.0,5276,8088.0,60,2.0
1615345509.770874,2842,2705.0,5190,23.0,60,2.0
1615345509.829996,3987,18881.0,5109,28435.0,74,2.0
1615345509.950269,614,51573.0,5179,45387.0,60,2.0
1615345509.976367,614,51573.0,5294,9001.0,60,2.0
1615345509.999313,426,47394.0,5190,563.0,60,2.0
1615345510.034677,705,45074.0,5172,5559.0,60,2.0
1615345510.034682,705,45074.0,5338,5559.0,60,2.0
1615345510.035235,614,51573.0,5249,45803.0,60,2.0
1615345510.124835,231,8529.0,5322,2323.0,60,2.0
1615345510.186489,426,47394.0,5270,909.0,60,2.0
1615345510.188608,3604,51019.0,5196,631.0,60,2.0
1615345510.262335,274,52587.0,5270,1433.0,66,2.0
1615345510.340066,3378,33487.0,5235,25901.0,60,2.0
1615345510.349477,1936,43070.0,5269,3303.0,60,2.0
1615345510.352489,614,51573.0,5169,7410.0,60,2.0
1615345510.4038641,3953,54997.0,5324,445.0,60,2.0
1615345510.415067,614,51573.0,5111,55660.0,60,2.0
1615345510.514793,3953,54997.0,5314,445.0,60,2.0
1615345510.703701,3922,57698.0,5143,445.0,66,2.0
1615345510.7177641,4485,29146.0,5118,8081.0,60,2.0
1615345510.788853,614,51573.0,5133,27467.0,60,2.0
1615345510.996521,3478,4313.0,5179,3165.0,60,2.0
1615345511.023804,614,51573.0,5245,55654.0,60,2.0
1615345511.035522,1804,44345.0,5225,14349.0,60,2.0
1615345511.064256,426,47394.0,5285,927.0,60,2.0
1615345511.098137,274,50356.0,5205,1433.0,66,2.0
1615345511.11537,426,47394.0,5321,212.0,60,2.0
1615345511.153609,266,36423.0,5326,80.0,60,2.0
1615345511.2263,3335,33657.0,5251,8100.0,60,2.0
1615345511.23892,274,53504.0,5255,1433.0,66,2.0
1615345511.3120801,634,50200.0,5321,3375.0,60,2.0
1615345511.3452609,614,51573.0,5154,45803.0,60,2.0
1615345511.352906,426,47394.0,5263,558.0,60,2.0
1615345511.353052,274,53618.0,5254,1433.0,66,2.0
1615345511.3649108,2780,63342.0,5104,445.0,66,2.0
1615345511.377206,3922,57758.0,5125,445.0,66,2.0
1615345511.404177,705,45074.0,5160,5555.0,60,2.0
1615345511.570395,3900,52814.0,5142,445.0,66,2.0
1615345511.5849211,705,45074.0,5174,5559.0,60,2.0
1615345511.589428,614,51573.0,5327,55747.0,60,2.0
1615345511.6303382,426,47394.0,5221,1722.0,60,2.0
1615345511.8292382,426,47394.0,5180,1030.0,60,2.0
1615345511.8327,3317,47254.0,5158,88.0,60,2.0
1615345511.8424132,643,47309.0,5182,8812.0,60,2.0
1615345511.971642,614,51573.0,5114,45803.0,60,2.0
1615345512.077174,2602,55095.0,5115,23.0,60,2.0
1615345512.156344,1826,50481.0,5264,33892.0,60,2.0
1615345512.258909,426,47394.0,5318,460.0,60,2.0
1615345512.2794302,4748,42974.0,5199,23.0,60,2.0
1615345512.306333,2589,49571.0,5311,445.0,66,2.0
1615345512.420748,614,51573.0,5319,3396.0,60,2.0
1615345512.617793,614,51573.0,5205,45803.0,60,2.0
1615345512.8291528,3374,64058.0,5126,48608.0,60,2.0
1615345512.937069,4622,9851.0,5177,23.0,60,2.0
1615345512.937417,614,51573.0,5293,7410.0,60,2.0
1615345512.939584,614,51573.0,5184,7410.0,60,2.0
1615345512.9919279,614,51573.0,5109,55660.0,60,2.0
1615345513.060704,3301,32767.0,5122,8545.0,60,2.0
1615345513.070014,614,51573.0,5259,3396.0,60,2.0
1615345513.120381,637,47282.0,5307,8033.0,60,2.0
1615345513.22772,1731,42302.0,5319,23.0,60,2.0
1615345513.254689,2094,38348.0,5179,443.0,60,2.0
1615345513.278805,705,45074.0,5247,5559.0,60,2.0
1615345513.2789161,705,45074.0,5347,5559.0,60,2.0
1615345513.285111,274,55436.0,5245,1433.0,66,2.0
1615345513.336442,4292,55786.0,5148,1433.0,60,2.0
1615345513.3669,426,47394.0,5154,2656.0,60,2.0
1615345513.403178,274,55528.0,5325,1433.0,66,2.0
1615345513.493903,1826,50481.0,5201,33892.0,60,2.0
1615345513.519149,3537,63713.0,5240,5800.0,60,2.0
1615345513.555553,705,45074.0,5236,5559.0,60,2.0
1615345513.5828462,1123,51623.0,5263,631.0,60,2.0
1615345513.702766,2094,16109.0,5257,443.0,60,2.0
1615345513.718532,614,51573.0,5305,3396.0,60,2.0
1615345513.799315,4386,59837.0,5200,445.0,60,2.0
1615345513.879868,426,47394.0,5333,745.0,60,2.0
1615345513.907067,3556,53473.0,5335,35110.0,60,2.0
1615345513.974149,705,45074.0,5232,5559.0,60,2.0
1615345513.974298,705,45074.0,5195,5559.0,60,2.0
1615345513.9908462,426,47394.0,5106,1661.0,60,2.0
1615345514.0270698,614,51573.0,5324,45926.0,60,2.0
1615345514.176477,3604,57957.0,5306,631.0,60,2.0
1615345514.203812,3335,28632.0,5237,9219.0,60,2.0
1615345514.253066,614,51573.0,5244,55654.0,60,2.0
1615345514.2533631,274,53504.0,5255,1433.0,66,2.0
1615345514.255054,3560,53567.0,5134,23.0,60,2.0
1615345514.355979,841,46986.0,5302,7001.0,74,2.0
1615345514.357464,614,51573.0,5298,3396.0,60,2.0
1615345514.367658,274,53618.0,5254,1433.0,66,2.0
1615345514.569565,3900,52814.0,5142,445.0,66,2.0
1615345514.675023,621,53586.0,5179,80.0,60,2.0
1615345514.6775131,621,53586.0,5185,80.0,60,2.0
1615345514.740841,426,47394.0,5234,663.0,60,2.0
1615345514.8575401,426,47394.0,5318,1654.0,60,2.0
1615345514.9543948,2689,26692.0,5336,8080.0,60,2.0
1615345514.980694,426,47394.0,5253,1600.0,60,2.0
1615345514.981648,2578,58580.0,5190,23.0,60,2.0
1615345515.017958,4123,48801.0,5291,17990.0,60,2.0
1615345515.04463,2578,58580.0,5190,23.0,60,2.0
1615345515.04744,426,47394.0,5112,2802.0,60,2.0
1615345515.08682,635,57136.0,5248,1111.0,60,2.0
1615345515.208551,614,51573.0,5131,45803.0,60,2.0
1615345515.313741,614,51573.0,5101,27467.0,60,2.0
1615345515.317237,637,47282.0,5265,8202.0,60,2.0
1615345515.353598,841,46986.0,5302,7001.0,74,2.0
