ts,src_ip,src_port,dst_ip,dst_port,pck_len,user,num_attack,first_port_scan,ip_diff,port_diff,range_ip,range_port,ip_medium,ip_std,port_medium,port_std,pck_medium,pck_std
1615346627.096874,1474,5143.0,5220,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.097073,1474,5143.0,5221,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.097169,1474,5143.0,5222,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0972214,1474,5143.0,5223,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.097411,1474,5143.0,5224,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.09742,1474,5143.0,5225,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0976038,1474,5143.0,5226,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.097717,1474,5143.0,5227,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.097718,1474,5143.0,5228,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0978339,1474,5143.0,5229,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098008,1474,5143.0,5230,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098063,1474,5143.0,5231,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098115,1474,5143.0,5232,54973.0,459,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098365,1474,5143.0,5234,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098365,1474,5143.0,5233,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098463,1474,5143.0,5235,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0985599,1474,5143.0,5236,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098669,1474,5143.0,5237,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.098836,1474,5143.0,5238,54973.0,459,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0988472,1474,5143.0,5239,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0990539,1474,5143.0,5240,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.099057,1474,5143.0,5241,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.099237,1474,5143.0,5242,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.09937,1474,5143.0,5243,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0993788,1474,5143.0,5244,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.099463,1474,5143.0,5245,54973.0,459,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.0996554,1474,5143.0,5247,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.099676,1474,5143.0,5246,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.09986,1474,5143.0,5248,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.09989,1474,5143.0,5249,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100048,1474,5143.0,5250,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100177,1474,5143.0,5252,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100191,1474,5143.0,5251,54973.0,456,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1002991,1474,5143.0,5253,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1004848,1474,5143.0,5255,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100512,1474,5143.0,5254,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100678,1474,5143.0,5256,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.10072,1474,5143.0,5257,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100816,1474,5143.0,5258,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.100904,1474,5143.0,5259,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1009948,1474,5143.0,5260,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1010964,1474,5143.0,5261,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.101218,1474,5143.0,5262,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.101396,1474,5143.0,5263,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.1015036,1474,5143.0,5264,54973.0,458,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
1615346627.101508,1474,5143.0,5265,54973.0,457,3576,253,54973.0,253,1,252,0,5224.0,73.03423854604085,54973.0,0.0,456.8893280632411,1.4376380301777096
